Tweet Number,Clause Number,Clause,Sentiment
1,1,wag naman sana,
1,2,at maapektuhan kaming tuwid bumoto,
2,1,kung sino man yang 12k na bumoto kay quiboloy sa malabon sana di masarap ulam nyo hindi na talaga aahon ang malabon,
3,1,na dinaya ang botohan kaloka,
4,1,so far bam kiko luke amp heidi frontrunner sa barangay naman bbm you are done halalan2025,
5,1,inanunsyo ng commission on elections comelec ang dominant majority,
5,2,at minority party sa bilangpilipino2025 ang lakascmd ang dominant majority party habang ang nacionalista party naman ang dominant minority party news5 via mon gualvez,
6,1,done na hindi ko lang na ss nun nag umpisa na ang botohan sa final stage sb19,
7,1,eleksyon 2025 vico sotto vs sarah discaya ang labanan sa puso ng pasig via,
8,1,just in the supreme court has issued new temporary restraining orders preventing the comelec from declaring francis leo antonio marcos a nuisance candidate,
8,2,and from canceling the candidacy of former albay governor noel rosal,
8,3,so far the sc has issued a total of 11 tros related to the 2025 midterm elections election2025 via bnc,
9,1,lintek na ddshet pala ang bobitang yan alam nya ang fake news,
9,2,pero ang comelec hindi tawang tawa pa sa kabobohan nya,
10,1,this week has been,
10,2,so fucking good bam kiko chel,
10,3,and leila sa senado,
10,4,at congreso met with my gf yday,
10,5,and may mwa mwa exo sky jongin,
10,6,and yixing tiktok pasado,
10,7,at nakaraos na rin sa 3rd yr,
11,1,im cryingggggg kikobam huhuhu lord pls keep the votes coming halalan2025,
12,1,bumoto tayo ng tama bukas para sa bukas,
13,1,whos leading in your town,
13,2,or province follow for realtime updates and results eleksyon2025,
14,1,nakarating kay jinkee ang balita tungkol sa nagkalat na paid ads sa social media laban sa kandidatura ng ni pacquiao na tumatakbo uling senador ngayong midterm elections makichika,
15,1,happy ako walang mag bibigay mg jacket at budots,
15,2,at ipe sa senado,
16,1,look pulse asias latest senatorial preferences survey conducted from february 2026 2025 for halalan2025 courtesy of pulse asia,
17,1,bumoto ng matalino bumoto nang matalino,
18,1,tanong no dropping policy in other colleges disagree ang sagot ng mga kandidato uplbvotes uplbelex2025,
19,1,can we report his acc in tiktok grabeng fake news nakaka bahala halalan2025,
20,1,the truck from comelecs service provider f2 logistics falls into a ravine after delivering election materials in bukidnon phvote,
21,1,we are just saying that the accusations,
21,2,and allegations are serious,
21,3,and we want to see how the amount requested for exemption from us was spent dagdag niya una,
21,4,nang iginiit ng comelec na hindi puwedeng gamitin sa pamumulitika ang cash aid projects,
22,1,comelec saddened over the passing of former commissioner virgilio garcillano ctto,
23,1,ang mga mangangalakal ng prediction markets ay malaki ang pusta sa madaling liberal win habang ang mga canadian ay tumungo sa mga botohan ang mga mangangalakal prediction markets malaki pusta madaling liberal win canadian tumungo mga botohan,
24,1,kayo bumoto pinapasa niyo nanaman samin kayo kayo lang naman talaga mga tatanga tanga e hahahaha,
25,1,ang tatalino ng mga taganaga halalan2025,
26,1,blooms namiss nyo bang bumoto tara naunahan tayo sa poll,
26,2,pero buhay ay di karera diba habulin natin its another exposure for bini with a crucial radio airplay,
26,3,so lets go boto,
26,4,para sa walo vote blink twice rt share promote bini,
27,1,hoy comelec bakit bumaba ung votes,
28,1,independent candidate mark anthony santos has topped senator cynthia villar in the race for las piñas city lone district representative based on the unofficial count of the commission on elections eleksyon2025 read more,
29,1,hindi ba sabi niya wala siyang masyadong alam,
